Tidspunkt;Vanntemperatur (°C)
2025-05-15 00:00:00Z;10,8175
2025-05-15 01:00:00Z;10,715
2025-05-15 02:00:00Z;10,61
2025-05-15 03:00:00Z;10,5025
2025-05-15 04:00:00Z;10,43
2025-05-15 05:00:00Z;10,495
2025-05-15 06:00:00Z;10,63
2025-05-15 07:00:00Z;10,8075
2025-05-15 08:00:00Z;11,1975
2025-05-15 09:00:00Z;11,6725
2025-05-15 10:00:00Z;12,305
2025-05-15 11:00:00Z;13,035
2025-05-15 12:00:00Z;13,6675
2025-05-15 13:00:00Z;13,9525
2025-05-15 14:00:00Z;13,865
2025-05-15 15:00:00Z;13,53
2025-05-15 16:00:00Z;13,0325
2025-05-15 17:00:00Z;12,45
2025-05-15 18:00:00Z;11,9825
2025-05-15 19:00:00Z;11,6775
2025-05-15 20:00:00Z;11,4875
2025-05-15 21:00:00Z;11,345
2025-05-15 22:00:00Z;11,2525
2025-05-15 23:00:00Z;11,19
2025-05-16 00:00:00Z;11,1425
2025-05-16 01:00:00Z;11,1125
2025-05-16 02:00:00Z;11,1
2025-05-16 03:00:00Z;11,1025
2025-05-16 04:00:00Z;11,145
2025-05-16 05:00:00Z;11,2775
2025-05-16 06:00:00Z;11,4725
2025-05-16 07:00:00Z;11,68
2025-05-16 08:00:00Z;11,985
2025-05-16 09:00:00Z;12,4025
2025-05-16 10:00:00Z;13,035
2025-05-16 11:00:00Z;13,865
2025-05-16 12:00:00Z;14,5625
2025-05-16 13:00:00Z;14,755
2025-05-16 14:00:00Z;14,5725
2025-05-16 15:00:00Z;14,235
2025-05-16 16:00:00Z;13,9075
2025-05-16 17:00:00Z;13,515
2025-05-16 18:00:00Z;13,115
2025-05-16 19:00:00Z;12,8175
2025-05-16 20:00:00Z;12,5775
2025-05-16 21:00:00Z;12,3525
2025-05-16 22:00:00Z;12,185
2025-05-16 23:00:00Z;12,09
2025-05-17 00:00:00Z;12,0375
2025-05-17 01:00:00Z;11,9875
2025-05-17 02:00:00Z;11,9425
2025-05-17 03:00:00Z;11,915
2025-05-17 04:00:00Z;11,915
2025-05-17 05:00:00Z;12,005
2025-05-17 06:00:00Z;12,13
2025-05-17 07:00:00Z;12,235
2025-05-17 08:00:00Z;12,5125
2025-05-17 09:00:00Z;12,8975
2025-05-17 10:00:00Z;13,515
2025-05-17 11:00:00Z;14,305
2025-05-17 12:00:00Z;15
2025-05-17 13:00:00Z;15,38
2025-05-17 14:00:00Z;15,315
2025-05-17 15:00:00Z;14,9475
2025-05-17 16:00:00Z;14,3725
2025-05-17 17:00:00Z;13,7875
2025-05-17 18:00:00Z;13,375
2025-05-17 19:00:00Z;13,05
2025-05-17 20:00:00Z;12,81
2025-05-17 21:00:00Z;12,595
2025-05-17 22:00:00Z;12,4175
2025-05-17 23:00:00Z;12,31
2025-05-18 00:00:00Z;12,24
2025-05-18 01:00:00Z;12,1825
2025-05-18 02:00:00Z;12,15
2025-05-18 03:00:00Z;12,1175
2025-05-18 04:00:00Z;12,075
2025-05-18 05:00:00Z;12,1075
2025-05-18 06:00:00Z;12,2825
2025-05-18 07:00:00Z;12,595
2025-05-18 08:00:00Z;12,93
2025-05-18 09:00:00Z;13,3525
2025-05-18 10:00:00Z;13,88
2025-05-18 11:00:00Z;14,645
2025-05-18 12:00:00Z;15,37
2025-05-18 13:00:00Z;15,7925
2025-05-18 14:00:00Z;15,7825
2025-05-18 15:00:00Z;15,4375
2025-05-18 16:00:00Z;14,885
2025-05-18 17:00:00Z;14,2275
2025-05-18 18:00:00Z;13,69
2025-05-18 19:00:00Z;13,33
2025-05-18 20:00:00Z;13,045
2025-05-18 21:00:00Z;12,8225
2025-05-18 22:00:00Z;12,6425
2025-05-18 23:00:00Z;12,48
2025-05-19 00:00:00Z;12,315
2025-05-19 01:00:00Z;12,19
2025-05-19 02:00:00Z;12,1025
2025-05-19 03:00:00Z;12,05
2025-05-19 04:00:00Z;12,045
2025-05-19 05:00:00Z;12,17
2025-05-19 06:00:00Z;12,4
2025-05-19 07:00:00Z;12,6525
2025-05-19 08:00:00Z;13,0475
2025-05-19 09:00:00Z;13,5325
2025-05-19 10:00:00Z;14,1675
2025-05-19 11:00:00Z;15,0175
2025-05-19 12:00:00Z;15,8625
2025-05-19 13:00:00Z;16,38
2025-05-19 14:00:00Z;16,41
2025-05-19 15:00:00Z;16,1375
2025-05-19 16:00:00Z;15,625
2025-05-19 17:00:00Z;15,03
2025-05-19 18:00:00Z;14,54
2025-05-19 19:00:00Z;14,13
2025-05-19 20:00:00Z;13,825
2025-05-19 21:00:00Z;13,57
2025-05-19 22:00:00Z;13,32
2025-05-19 23:00:00Z;13,095
2025-05-20 00:00:00Z;12,925
2025-05-20 01:00:00Z;12,8025
2025-05-20 02:00:00Z;12,695
2025-05-20 03:00:00Z;12,6025
2025-05-20 04:00:00Z;12,5425
2025-05-20 05:00:00Z;12,63
2025-05-20 06:00:00Z;12,8325
2025-05-20 07:00:00Z;13,1175
2025-05-20 08:00:00Z;13,5725
2025-05-20 09:00:00Z;14,0975
2025-05-20 10:00:00Z;14,785
2025-05-20 11:00:00Z;15,6775
2025-05-20 12:00:00Z;16,5125
2025-05-20 13:00:00Z;17,0375
2025-05-20 14:00:00Z;17,0425
2025-05-20 15:00:00Z;16,6725
2025-05-20 16:00:00Z;16,015
2025-05-20 17:00:00Z;15,2975
2025-05-20 18:00:00Z;14,865
2025-05-20 19:00:00Z;14,5175
2025-05-20 20:00:00Z;14,2125
2025-05-20 21:00:00Z;13,9425
2025-05-20 22:00:00Z;13,7275
2025-05-20 23:00:00Z;13,49
2025-05-21 00:00:00Z;13,255
2025-05-21 01:00:00Z;13,05
2025-05-21 02:00:00Z;12,85
2025-05-21 03:00:00Z;12,6675
2025-05-21 04:00:00Z;12,56
2025-05-21 05:00:00Z;12,495
2025-05-21 06:00:00Z;12,515
2025-05-21 07:00:00Z;12,6175
2025-05-21 08:00:00Z;12,8
2025-05-21 09:00:00Z;13,085
2025-05-21 10:00:00Z;13,4625
2025-05-21 11:00:00Z;14,095
2025-05-21 12:00:00Z;14,52
2025-05-21 13:00:00Z;14,6125
2025-05-21 14:00:00Z;14,4175
2025-05-21 15:00:00Z;14,2325
2025-05-21 16:00:00Z;13,9425
2025-05-21 17:00:00Z;13,6
2025-05-21 18:00:00Z;13,31
2025-05-21 19:00:00Z;13,045
2025-05-21 20:00:00Z;12,7625
