#Karasjok, 234.10.0, Vanntemperatur, dogn
Tidspunkt;Vanntemperatur (°C);Korrigert;Kontrollert
2024-01-01 11:00:00Z;0,03292484;23;2
2024-01-02 11:00:00Z;0,03313372;23;2
2024-01-03 11:00:00Z;0,03355147;23;2
2024-01-04 11:00:00Z;0,03459586;23;2
2024-01-05 11:00:00Z;0,03292484;23;2
2024-01-06 11:00:00Z;0,03292484;23;2
2024-01-07 11:00:00Z;0,0333426;23;2
2024-01-08 11:00:00Z;0,03376035;23;2
2024-01-09 11:00:00Z;0,03417811;23;2
2024-01-10 11:00:00Z;0,0333426;23;2
2024-01-11 11:00:00Z;0,03376035;23;2
2024-01-12 11:00:00Z;0,0333426;23;2
2024-01-13 11:00:00Z;0,03208933;23;2
2024-01-14 11:00:00Z;0,03250708;23;2
2024-01-15 11:00:00Z;0,03208933;23;2
2024-01-16 11:00:00Z;0,03167158;23;2
2024-01-17 11:00:00Z;0,03208933;23;2
2024-01-18 11:00:00Z;0,03250708;23;2
2024-01-19 11:00:00Z;0,03125382;23;2
2024-01-20 11:00:00Z;0,03250708;23;2
2024-01-21 11:00:00Z;0,03167157;23;2
2024-01-22 11:00:00Z;0,03250708;23;2
2024-01-23 11:00:00Z;0,03208933;23;2
2024-01-24 11:00:00Z;0,03292484;23;2
2024-01-25 11:00:00Z;0,03167158;23;2
2024-01-26 11:00:00Z;0,03041831;23;2
2024-01-27 11:00:00Z;0,02895616;23;2
2024-01-28 11:00:00Z;0,02749402;23;2
2024-01-29 11:00:00Z;0,03104494;23;2
2024-01-30 11:00:00Z;0,0304183;23;2
2024-01-31 11:00:00Z;0,03125382;23;2
2024-02-01 11:00:00Z;0,03104494;23;2
2024-02-02 11:00:00Z;0,03125382;23;2
2024-02-03 11:00:00Z;0,02895616;23;2
2024-02-04 11:00:00Z;0,03125382;23;2
2024-02-05 11:00:00Z;0,02937392;23;2
2024-02-06 11:00:00Z;0,02624075;23;2
2024-02-07 11:00:00Z;0,02812065;23;2
2024-02-08 11:00:00Z;0,02707626;23;2
2024-02-09 11:00:00Z;0,02686738;23;2
2024-02-10 11:00:00Z;0,02686738;23;2
2024-02-11 11:00:00Z;0,0277029;23;2
2024-02-12 11:00:00Z;0,02665851;23;2
2024-02-13 11:00:00Z;0,02791178;23;2
2024-02-14 11:00:00Z;0,02624075;23;2
2024-02-15 11:00:00Z;0,02979167;23;2
2024-02-16 11:00:00Z;0,03125382;23;2
2024-02-17 11:00:00Z;0,03041831;23;2
2024-02-18 11:00:00Z;0,03167157;23;2
2024-02-19 11:00:00Z;0,03167157;23;2
2024-02-20 11:00:00Z;0,03146269;23;2
2024-02-21 11:00:00Z;0,03041831;23;2
2024-02-22 11:00:00Z;0,03125382;23;2
2024-02-23 11:00:00Z;0,03188045;23;2
2024-02-24 11:00:00Z;0,0295828;23;2
2024-02-25 11:00:00Z;0,02916504;23;2
2024-02-26 11:00:00Z;0,02916504;23;2
2024-02-27 11:00:00Z;0,03167157;23;2
2024-02-28 11:00:00Z;0,02916504;23;2
2024-02-29 11:00:00Z;0,03062718;23;2
2024-03-01 11:00:00Z;0,02874729;23;2
2024-03-02 11:00:00Z;0,03020943;23;2
2024-03-03 11:00:00Z;0,03188045;23;2
2024-03-04 11:00:00Z;0,03104494;23;2
2024-03-05 11:00:00Z;0,03125381;23;2
2024-03-06 11:00:00Z;0,02958279;23;2
2024-03-07 11:00:00Z;0,0304183;23;2
2024-03-08 11:00:00Z;0,03020943;23;2
2024-03-09 11:00:00Z;0,03062719;23;2
2024-03-10 11:00:00Z;0,03146269;23;2
2024-03-11 11:00:00Z;0,03271596;23;2
2024-03-12 11:00:00Z;0,03188045;23;2
2024-03-13 11:00:00Z;0,0314627;23;2
2024-03-14 11:00:00Z;0,02832953;23;2
2024-03-15 11:00:00Z;0,03000055;23;2
2024-03-16 11:00:00Z;0,03167158;23;2
2024-03-17 11:00:00Z;0,02895616;23;2
2024-03-18 11:00:00Z;0,03062719;23;2
2024-03-19 11:00:00Z;0,03083606;23;2
2024-03-20 11:00:00Z;0,03208933;23;2
2024-03-21 11:00:00Z;0,03125382;23;2
2024-03-22 11:00:00Z;0,03250708;23;2
2024-03-23 11:00:00Z;0,03083606;23;2
2024-03-24 11:00:00Z;0,03167157;23;2
2024-03-25 11:00:00Z;0,03083606;23;2
2024-03-26 11:00:00Z;0,03292484;23;2
2024-03-27 11:00:00Z;0,03292484;23;2
2024-03-28 11:00:00Z;0,03292484;23;2
2024-03-29 11:00:00Z;0,03250708;23;2
2024-03-30 11:00:00Z;0,03292484;23;2
2024-03-31 11:00:00Z;0,03250708;23;2
2024-04-01 11:00:00Z;0,03188045;23;2
2024-04-02 11:00:00Z;0,03125382;23;2
2024-04-03 11:00:00Z;0,0314627;23;2
2024-04-04 11:00:00Z;0,03292484;23;2
2024-04-05 11:00:00Z;0,03250709;23;2
2024-04-06 11:00:00Z;0,03292484;23;2
2024-04-07 11:00:00Z;0,03250708;23;2
2024-04-08 11:00:00Z;0,03292484;23;2
2024-04-09 11:00:00Z;0,03543137;23;2
2024-04-10 11:00:00Z;0,03501362;23;2
2024-04-11 11:00:00Z;0,03877341;23;2
2024-04-12 11:00:00Z;0,04086219;23;2
2024-04-13 11:00:00Z;0,04838177;23;2
2024-04-14 11:00:00Z;0,04566638;23;2
2024-04-15 11:00:00Z;0,05423035;23;2
2024-04-16 11:00:00Z;0,06154107;23;2
2024-04-17 11:00:00Z;0,0575724;23;2
2024-04-18 11:00:00Z;0,07929567;23;2
2024-04-19 11:00:00Z;0,08389097;23;2
2024-04-20 11:00:00Z;0,08013117;23;2
2024-04-21 11:00:00Z;0,06989617;23;2
2024-04-22 11:00:00Z;0,07741576;23;2
2024-04-23 11:00:00Z;0,04900842;23;2
2024-04-24 11:00:00Z;0,05423035;23;2
2024-04-25 11:00:00Z;0,0780424;23;2
2024-04-26 11:00:00Z;0,1223245;23;2
2024-04-27 11:00:00Z;0,07762464;23;2
2024-04-28 11:00:00Z;0,07616251;23;2
2024-04-29 11:00:00Z;0,1442566;23;2
2024-04-30 11:00:00Z;0,1524028;23;2
2024-05-01 11:00:00Z;0,1475986;23;2
2024-05-02 11:00:00Z;0,1108362;23;2
